student_id,semester,age,gender,level,faculty,city_type,sleep_hours,study_hours,screen_hours_academic,screen_hours_leisure,physical_activity_hours,academic_pressure,social_support,financial_stress,gpa,exam_period,anxiety_score,depressive_symptoms,stress_level,burnout_risk
1,2024S1,19,M,L1,Sciences,Urbain,6.9,3.7,2.9,5.8,1.7,3,5,4,13.9,0,2.4,2.7,2,Faible
1,2024S2,20,M,L1,Gestion,Rural,3.0,5.9,2.2,3.1,1.5,2,3,5,11.8,0,6.0,3.3,3,Faible
2,2023S1,23,M,L1,Ingénierie,Urbain,7.3,4.6,4.3,6.5,0.9,5,4,3,15.9,0,5.8,3.6,3,Faible
2,2024S1,19,F,L2,Sciences,Rural,5.1,3.6,6.8,5.1,0.4,5,1,1,7.2,1,6.1,1.2,4,Moyen
3,2024S1,25,M,L1,Ingénierie,Urbain,8.6,6.9,1.5,5.7,0.5,3,4,1,6.0,0,5.2,3.1,2,Faible
3,2024S2,24,F,L3,Droit,Rural,7.4,3.4,6.0,5.6,5.0,2,5,2,14.2,1,5.7,1.9,2,Faible
4,2023S1,20,F,Bac,Ingénierie,Urbain,7.6,2.9,4.4,3.5,2.5,3,2,1,11.0,1,2.7,4.5,2,Faible
4,2023S1,17,M,Bac,Ingénierie,Urbain,7.6,5.7,2.7,6.0,0.0,5,5,3,17.2,1,4.4,3.5,3,Faible
5,2024S1,17,M,Bac,Ingénierie,Urbain,5.7,3.5,6.2,4.7,2.0,2,4,3,15.1,0,4.9,1.9,3,Faible
5,2023S2,17,F,Bac,Sciences,Urbain,5.9,4.6,1.3,5.8,3.5,4,2,5,13.8,1,1.8,2.9,4,Moyen
6,2024S1,17,M,L2,Sciences,Urbain,3.9,8.0,4.7,7.0,2.6,4,1,2,10.5,0,4.8,1.0,4,Moyen
6,2024S1,24,F,Bac,Lettres,Urbain,8.4,3.5,3.2,3.8,0.0,5,3,2,14.0,0,5.5,5.9,3,Faible
7,2024S1,19,F,Bac,Droit,Rural,4.5,2.6,5.5,6.1,3.0,2,1,1,10.8,0,3.6,1.0,2,Faible
7,2024S1,22,F,Bac,Sciences,Urbain,6.3,4.1,4.1,3.3,2.0,3,3,4,12.2,0,5.2,2.8,3,Faible
8,2024S2,19,M,L3,Médecine,Urbain,8.0,3.9,5.5,3.1,2.3,5,1,2,11.0,1,2.2,4.3,3,Faible
8,2023S1,27,F,L3,Droit,Urbain,8.4,6.0,3.6,4.0,4.8,5,2,1,12.8,0,4.6,4.1,3,Faible
9,2024S2,21,M,Bac,Sciences,Urbain,5.9,1.8,2.7,4.0,2.0,1,2,4,11.2,1,3.2,5.8,2,Faible
9,2024S2,23,F,L3,Sciences,Urbain,3.9,9.9,3.4,4.9,0.9,3,2,1,15.0,1,4.5,3.1,4,Moyen
10,2024S2,18,M,L1,Droit,Urbain,6.6,3.1,3.8,1.7,0.0,3,3,5,13.4,0,3.2,4.6,3,Faible
10,2024S1,22,F,Bac,Gestion,Urbain,6.8,5.6,4.1,5.1,1.0,4,2,2,10.5,0,6.3,3.0,3,Faible
11,2023S2,22,M,L2,Sciences,Rural,6.9,6.4,4.7,3.7,0.9,1,5,1,10.7,1,3.3,1.0,2,Faible
11,2023S1,27,F,Bac,Ingénierie,Urbain,5.9,4.9,3.5,0.2,0.0,3,3,5,8.2,0,4.7,2.9,2,Faible
12,2023S2,19,M,L3,Sciences,Urbain,6.1,5.7,4.7,4.8,3.0,3,2,1,6.1,0,6.5,1.0,2,Faible
12,2024S2,22,M,Bac,Ingénierie,Urbain,5.3,4.6,7.5,6.8,2.8,4,2,3,14.8,0,3.7,3.6,3,Faible
13,2024S2,26,M,M2,Lettres,Urbain,6.5,5.8,2.2,6.1,2.0,1,1,1,10.9,0,3.3,2.7,2,Faible
13,2023S2,26,F,Bac,Gestion,Urbain,7.4,3.6,5.3,4.0,0.5,1,5,3,8.3,0,2.3,2.8,1,Faible
14,2023S2,21,M,L2,Gestion,Urbain,6.7,3.2,2.3,3.1,2.4,2,5,2,13.3,0,2.7,3.2,1,Faible
14,2023S2,18,F,M1,Ingénierie,Urbain,6.2,0.9,1.8,5.7,2.9,5,3,1,9.8,1,5.4,3.0,3,Faible
15,2024S2,25,M,Bac,Sciences,Urbain,7.9,5.4,6.1,3.1,4.7,2,5,5,11.8,1,3.4,3.8,2,Faible
15,2024S2,24,M,L1,Sciences,Urbain,6.7,3.8,1.9,3.9,2.5,1,2,2,8.1,0,5.6,5.1,2,Faible
